"","count","DistanciaN","Distancia","Segregation","costoCupo","costoCurrentSolution","temp","conf","count_replica","experiment"
"141",995600,0.243791676133,3.6919661281671,0.0219155778689,0.0232977931561,0.0699541043852,9.18513e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",13,"exp7"
"151",1005921,0.2446042144158,3.7042711578771,0.0165351472326,0.0259230242412,0.0687599034178,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",14,"exp7"
"161",999009,0.2461352809324,3.7274575349068,0.0202602671345,0.0440337215971,0.0771525752564,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",15,"exp7"
"171",1005279,0.2447026805868,3.7057623235071,0.0127356471275,0.0233356100349,0.0662285696214,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",16,"exp7"
"181",1001943,0.2457178069866,3.721135335183,0.0193572481654,0.0239970723375,0.06952016226,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",17,"exp7"
"191",999751,0.246079687836,3.7266156364779,0.0151154114547,0.0259611565547,0.0684812367864,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",18,"exp7"
"201",1005353,0.2457282965477,3.7212941884511,0.0155981583107,0.0329709321954,0.0711163214632,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",19,"exp7"
"211",1000837,0.2449079924936,3.7088715543789,0.0205810314164,0.0259367741906,0.0705638597809,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",20,"exp7"
"221",1005962,0.2452968294081,3.7147600766629,0.0121078585998,0.0263812610662,0.067174567511,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",21,"exp7"
"231",1002078,0.2448956415729,3.7086845127952,0.0144965478903,0.0247043185229,0.0675134146196,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",22,"exp7"
"241",1001395,0.2474154018062,3.746843606577,0.0126679826837,0.0244924704634,0.067194032417,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",23,"exp7"
"251",1005029,0.2445479806124,3.7034195566233,0.0192188175777,0.0248454584426,0.0695131528226,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",24,"exp7"
"261",1005030,0.2461819386545,3.7281641165766,0.0125166715008,0.024090953314,0.0667214722528,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",25,"exp7"
"271",1005333,0.2442116123218,3.6983256159474,0.0164036031906,0.0244028749784,0.0680764879287,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",26,"exp7"
"281",1006003,0.2465203519275,3.7332890263397,0.0181168986401,0.0253937007902,0.0696593536838,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",27,"exp7"
"291",1004830,0.2450050409525,3.7103412502628,0.0193355087178,0.0247870208195,0.069640234233,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",28,"exp7"
